Swatchos No.,C,M,Y,K,RGB Hex
100.4,56,0,56,0,#7DC18D
100.3,75,0,75,25,#298D54
100.2,75,0,75,50,#1C6C3F
101.0,100,25,100,0,#00803D
101.1,100,25,100,75,#003413
101.6,25,6,25,0,#CCDBC9
101.5,50,13,50,0,#91B894
101.4,75,19,75,0,#449861
101.3,100,25,100,25,#006A32
101.2,100,25,100,50,#005125
102.0,100,75,100,0,#214B35
102.1,100,75,100,75,#071D0C
102.6,25,19,25,0,#CAC8BF
102.5,50,38,50,0,#949584
102.4,75,56,75,0,#5B6A54
102.3,100,75,100,25,#193E2B
102.2,100,75,100,50,#11301E
103.0,100,50,100,0,#00663A
103.1,100,50,100,75,#002910
103.6,25,13,25,0,#CBD2C4
103.5,50,25,50,0,#93A78C
103.4,75,38,75,0,#52825B
103.3,100,50,100,25,#00542F
103.2,100,50,100,50,#004122
104.0,100,0,75,0,#009767
104.1,100,0,75,75,#003D27
104.6,25,0,19,0,#CBE6DA
104.5,50,0,38,0,#8CCAB3
104.4,75,0,56,0,#20AF8C
104.3,100,0,75,25,#007D55
104.2,100,0,75,50,#005F40
105.0,100,25,75,0,#008160
105.1,100,25,75,75,#003424
105.6,25,6,19,0,#CBDCD5
105.5,50,13,38,0,#8FBAAB
105.4,75,19,56,0,#3C9A83
105.3,100,25,75,25,#006A4F
105.2,100,25,75,50,#00513B
106.0,75,0,50,0,#15AF97
106.1,75,0,50,75,#00463B
106.6,19,0,13,0,#D9ECE6
106.5,38,0,25,0,#ADD9CC
106.4,56,0,38,0,#78C4B1
106.3,75,0,50,25,#18907C
106.2,75,0,50,50,#0F6D5E
107.0,75,25,50,0,#40948A
107.1,75,25,50,75,#133B35
107.6,19,6,13,0,#D8E2E1
107.5,38,13,25,0,#AEC7C2
107.4,56,19,38,0,#7EACA5
107.3,75,25,50,25,#367A71
107.2,75,25,50,50,#285D56
108.0,100,0,50,0,#009A93
108.1,100,0,50,75,#003D39
108.6,25,0,13,0,#CBE7E5
108.5,50,0,25,0,#8ACCCA
